Sample,Logistic Regression,Decision Tree,Random Forest,Support Vector Machine,Gradient Boosting
1,0.961038961038961,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
2,1.0,0.974025974025974,1.0,1.0,1.0
3,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
4,0.987012987012987,0.961038961038961,0.987012987012987,0.987012987012987,0.961038961038961
5,0.961038961038961,0.961038961038961,0.974025974025974,0.974025974025974,0.974025974025974
